structure_id,formula,F,D,P,stoich_F,stoich_D,stoich_P,anion,track,polymorph,bonding_class,ICSD_Status
LaNiP__hexagonal,LaNiP,La,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
CeNiP__hexagonal,CeNiP,Ce,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
PrCoP__tetragonal,PrCoP,Pr,Co,P,1,1,1,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
PrNiP__hexagonal,PrNiP,Pr,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
NdCoP__tetragonal,NdCoP,Nd,Co,P,1,1,1,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
NdNiP__hexagonal,NdNiP,Nd,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
SmFeP__tetragonal,SmFeP,Sm,Fe,P,1,1,1,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
SmCoP__tetragonal,SmCoP,Sm,Co,P,1,1,1,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
SmNiP__hexagonal,SmNiP,Sm,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
EuCuP__hexagonal,EuCuP,Eu,Cu,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
EuAgP__hexagonal,EuAgP,Eu,Ag,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
GdCoC__tetragonal,GdCoC,Gd,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
TbCoC__tetragonal,TbCoC,Tb,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
DyCoC__tetragonal,DyCoC,Dy,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
DyNiP__hexagonal,DyNiP,Dy,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
HoCoC__tetragonal,HoCoC,Ho,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
ErCoC__tetragonal,ErCoC,Er,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
ErNiP__hexagonal,ErNiP,Er,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
TmCoC__tetragonal,TmCoC,Tm,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
TmNiP__hexagonal,TmNiP,Tm,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
LuCoC__tetragonal,LuCoC,Lu,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
LuNiP__hexagonal,LuNiP,Lu,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
LaCoC2__monoclinic,LaCoC2,La,Co,C,1,1,2,C,relaxed_intermetallic,monoclinic,Intermetallic,ICSD
LaNiC2__orthorhombic,LaNiC2,La,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
LaNiO2__tetragonal,LaNiO2,La,Ni,O,1,1,2,O,strict_ionic,tetragonal,Ionic,ICSD
LaCuO2__trigonal,LaCuO2,La,Cu,O,1,1,2,O,strict_ionic,trigonal,Ionic,ICSD
LaCuS2__monoclinic,LaCuS2,La,Cu,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
LaCuSe2__monoclinic,LaCuSe2,La,Cu,Se,1,1,2,Se,strict_ionic,monoclinic,Ionic,ICSD
LaRhC2__tetragonal,LaRhC2,La,Rh,C,1,1,2,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
CeCoC2__monoclinic,CeCoC2,Ce,Co,C,1,1,2,C,relaxed_intermetallic,monoclinic,Intermetallic,ICSD
CeNiC2__orthorhombic,CeNiC2,Ce,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
CeCuS2__monoclinic,CeCuS2,Ce,Cu,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
CeCuSe2__monoclinic,CeCuSe2,Ce,Cu,Se,1,1,2,Se,strict_ionic,monoclinic,Ionic,ICSD
CeRhC2__tetragonal,CeRhC2,Ce,Rh,C,1,1,2,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
PrCoC2__monoclinic,PrCoC2,Pr,Co,C,1,1,2,C,relaxed_intermetallic,monoclinic,Intermetallic,ICSD
PrNiC2__orthorhombic,PrNiC2,Pr,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
PrCuO2__trigonal,PrCuO2,Pr,Cu,O,1,1,2,O,strict_ionic,trigonal,Ionic,ICSD
PrCuS2__monoclinic,PrCuS2,Pr,Cu,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
PrCuSe2__monoclinic,PrCuSe2,Pr,Cu,Se,1,1,2,Se,strict_ionic,monoclinic,Ionic,ICSD
PrRhC2__orthorhombic,PrRhC2,Pr,Rh,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
NdCoC2__monoclinic,NdCoC2,Nd,Co,C,1,1,2,C,relaxed_intermetallic,monoclinic,Intermetallic,ICSD
NdNiC2__orthorhombic,NdNiC2,Nd,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
NdNiO2__tetragonal,NdNiO2,Nd,Ni,O,1,1,2,O,strict_ionic,tetragonal,Ionic,ICSD
NdCuO2__trigonal,NdCuO2,Nd,Cu,O,1,1,2,O,strict_ionic,trigonal,Ionic,ICSD
NdCuS2__monoclinic,NdCuS2,Nd,Cu,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
NdCuSe2__monoclinic,NdCuSe2,Nd,Cu,Se,1,1,2,Se,strict_ionic,monoclinic,Ionic,ICSD
NdRhC2__orthorhombic,NdRhC2,Nd,Rh,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
SmFeC2__orthorhombic,SmFeC2,Sm,Fe,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
SmCoC2__monoclinic,SmCoC2,Sm,Co,C,1,1,2,C,relaxed_intermetallic,monoclinic,Intermetallic,ICSD
SmCoC2__orthorhombic,SmCoC2,Sm,Co,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
SmNiC2__orthorhombic,SmNiC2,Sm,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
SmCuO2__trigonal,SmCuO2,Sm,Cu,O,1,1,2,O,strict_ionic,trigonal,Ionic,ICSD
SmCuP2__tetragonal,SmCuP2,Sm,Cu,P,1,1,2,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
SmCuS2__monoclinic,SmCuS2,Sm,Cu,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
SmCuSe2__monoclinic,SmCuSe2,Sm,Cu,Se,1,1,2,Se,strict_ionic,monoclinic,Ionic,ICSD
SmRhC2__orthorhombic,SmRhC2,Sm,Rh,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
SmAgS2__monoclinic,SmAgS2,Sm,Ag,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
EuCuO2__trigonal,EuCuO2,Eu,Cu,O,1,1,2,O,strict_ionic,trigonal,Ionic,ICSD
GdFeC2__orthorhombic,GdFeC2,Gd,Fe,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
GdCoC2__orthorhombic,GdCoC2,Gd,Co,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
GdNiC2__orthorhombic,GdNiC2,Gd,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
GdCuS2__monoclinic,GdCuS2,Gd,Cu,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
GdCuSe2__monoclinic,GdCuSe2,Gd,Cu,Se,1,1,2,Se,strict_ionic,monoclinic,Ionic,ICSD
GdMoC2__orthorhombic,GdMoC2,Gd,Mo,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
GdRuC2__orthorhombic,GdRuC2,Gd,Ru,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
GdAgS2__monoclinic,GdAgS2,Gd,Ag,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
GdAgSe2__tetragonal,GdAgSe2,Gd,Ag,Se,1,1,2,Se,strict_ionic,tetragonal,Ionic,ICSD
TbFeC2__orthorhombic,TbFeC2,Tb,Fe,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
TbCoC2__orthorhombic,TbCoC2,Tb,Co,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
TbNiC2__orthorhombic,TbNiC2,Tb,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
TbCuS2__monoclinic,TbCuS2,Tb,Cu,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
TbCuSe2__monoclinic,TbCuSe2,Tb,Cu,Se,1,1,2,Se,strict_ionic,monoclinic,Ionic,ICSD
TbMoC2__orthorhombic,TbMoC2,Tb,Mo,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
TbAgSe2__tetragonal,TbAgSe2,Tb,Ag,Se,1,1,2,Se,strict_ionic,tetragonal,Ionic,ICSD
TbWC2__orthorhombic,TbWC2,Tb,W,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
DyFeC2__orthorhombic,DyFeC2,Dy,Fe,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
DyCoC2__orthorhombic,DyCoC2,Dy,Co,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
DyNiC2__orthorhombic,DyNiC2,Dy,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
DyCuS2__orthorhombic,DyCuS2,Dy,Cu,S,1,1,2,S,strict_ionic,orthorhombic,Ionic,ICSD
DyMoC2__orthorhombic,DyMoC2,Dy,Mo,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
DyAgS2__monoclinic,DyAgS2,Dy,Ag,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
DyAgSe2__orthorhombic,DyAgSe2,Dy,Ag,Se,1,1,2,Se,strict_ionic,orthorhombic,Ionic,ICSD
DyAgSe2__tetragonal,DyAgSe2,Dy,Ag,Se,1,1,2,Se,strict_ionic,tetragonal,Ionic,ICSD
DyWC2__orthorhombic,DyWC2,Dy,W,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
HoFeC2__orthorhombic,HoFeC2,Ho,Fe,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
HoCoC2__orthorhombic,HoCoC2,Ho,Co,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
HoNiC2__orthorhombic,HoNiC2,Ho,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
HoCuP2__tetragonal,HoCuP2,Ho,Cu,P,1,1,2,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
HoCuS2__orthorhombic,HoCuS2,Ho,Cu,S,1,1,2,S,strict_ionic,orthorhombic,Ionic,ICSD
HoMoC2__orthorhombic,HoMoC2,Ho,Mo,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
HoAgS2__monoclinic,HoAgS2,Ho,Ag,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
HoAgSe2__orthorhombic,HoAgSe2,Ho,Ag,Se,1,1,2,Se,strict_ionic,orthorhombic,Ionic,ICSD
HoAgSe2__tetragonal,HoAgSe2,Ho,Ag,Se,1,1,2,Se,strict_ionic,tetragonal,Ionic,ICSD
HoWC2__orthorhombic,HoWC2,Ho,W,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
ErFeC2__orthorhombic,ErFeC2,Er,Fe,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
ErCoC2__orthorhombic,ErCoC2,Er,Co,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
ErNiC2__orthorhombic,ErNiC2,Er,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
ErCuP2__orthorhombic,ErCuP2,Er,Cu,P,1,1,2,P,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
ErCuS2__orthorhombic,ErCuS2,Er,Cu,S,1,1,2,S,strict_ionic,orthorhombic,Ionic,ICSD
ErMoC2__orthorhombic,ErMoC2,Er,Mo,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
ErAgS2__monoclinic,ErAgS2,Er,Ag,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
ErAgS2__tetragonal,ErAgS2,Er,Ag,S,1,1,2,S,strict_ionic,tetragonal,Ionic,ICSD
ErAgSe2__orthorhombic,ErAgSe2,Er,Ag,Se,1,1,2,Se,strict_ionic,orthorhombic,Ionic,ICSD
ErWC2__orthorhombic,ErWC2,Er,W,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
TmCoC2__orthorhombic,TmCoC2,Tm,Co,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
TmNiC2__orthorhombic,TmNiC2,Tm,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
TmCuS2__orthorhombic,TmCuS2,Tm,Cu,S,1,1,2,S,strict_ionic,orthorhombic,Ionic,ICSD
TmMoC2__orthorhombic,TmMoC2,Tm,Mo,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
TmAgS2__tetragonal,TmAgS2,Tm,Ag,S,1,1,2,S,strict_ionic,tetragonal,Ionic,ICSD
TmAgSe2__orthorhombic,TmAgSe2,Tm,Ag,Se,1,1,2,Se,strict_ionic,orthorhombic,Ionic,ICSD
TmWC2__orthorhombic,TmWC2,Tm,W,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
YbCoC2__orthorhombic,YbCoC2,Yb,Co,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
YbNiC2__orthorhombic,YbNiC2,Yb,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
YbCuS2__orthorhombic,YbCuS2,Yb,Cu,S,1,1,2,S,strict_ionic,orthorhombic,Ionic,ICSD
YbAgO2__trigonal,YbAgO2,Yb,Ag,O,1,1,2,O,strict_ionic,trigonal,Ionic,ICSD
YbAgS2__tetragonal,YbAgS2,Yb,Ag,S,1,1,2,S,strict_ionic,tetragonal,Ionic,ICSD
YbAgSe2__orthorhombic,YbAgSe2,Yb,Ag,Se,1,1,2,Se,strict_ionic,orthorhombic,Ionic,ICSD
LuFeC2__orthorhombic,LuFeC2,Lu,Fe,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
LuCoC2__orthorhombic,LuCoC2,Lu,Co,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
LuNiC2__orthorhombic,LuNiC2,Lu,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
LuCuS2__orthorhombic,LuCuS2,Lu,Cu,S,1,1,2,S,strict_ionic,orthorhombic,Ionic,ICSD
LuCuS2__trigonal,LuCuS2,Lu,Cu,S,1,1,2,S,strict_ionic,trigonal,Ionic,ICSD
LuAgO2__trigonal,LuAgO2,Lu,Ag,O,1,1,2,O,strict_ionic,trigonal,Ionic,ICSD
LuAgSe2__orthorhombic,LuAgSe2,Lu,Ag,Se,1,1,2,Se,strict_ionic,orthorhombic,Ionic,ICSD
LaScO3__orthorhombic,LaScO3,La,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaTiO3__orthorhombic,LaTiO3,La,Ti,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaVO3__orthorhombic,LaVO3,La,V,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaCrO3__orthorhombic,LaCrO3,La,Cr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaCrO3__trigonal,LaCrO3,La,Cr,O,1,1,3,O,strict_ionic,trigonal,Ionic,ICSD
LaCrS3__orthorhombic,LaCrS3,La,Cr,S,1,1,3,S,strict_ionic,orthorhombic,Ionic,ICSD
LaCrSe3__orthorhombic,LaCrSe3,La,Cr,Se,1,1,3,Se,strict_ionic,orthorhombic,Ionic,ICSD
LaMnO3__orthorhombic,LaMnO3,La,Mn,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaMnO3__trigonal,LaMnO3,La,Mn,O,1,1,3,O,strict_ionic,trigonal,Ionic,ICSD
LaFeO3__orthorhombic,LaFeO3,La,Fe,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaFeO3__trigonal,LaFeO3,La,Fe,O,1,1,3,O,strict_ionic,trigonal,Ionic,ICSD
LaCoO3__orthorhombic,LaCoO3,La,Co,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaCoO3__trigonal,LaCoO3,La,Co,O,1,1,3,O,strict_ionic,trigonal,Ionic,ICSD
LaNiO3__trigonal,LaNiO3,La,Ni,O,1,1,3,O,strict_ionic,trigonal,Ionic,ICSD
LaCuO3__trigonal,LaCuO3,La,Cu,O,1,1,3,O,strict_ionic,trigonal,Ionic,ICSD
LaYO3__orthorhombic,LaYO3,La,Y,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaRuO3__orthorhombic,LaRuO3,La,Ru,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaRhO3__orthorhombic,LaRhO3,La,Rh,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
LaPdO3__orthorhombic,LaPdO3,La,Pd,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
CeScO3__orthorhombic,CeScO3,Ce,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
CeScS3__orthorhombic,CeScS3,Ce,Sc,S,1,1,3,S,strict_ionic,orthorhombic,Ionic,ICSD
CeVO3__orthorhombic,CeVO3,Ce,V,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
CeCrS3__orthorhombic,CeCrS3,Ce,Cr,S,1,1,3,S,strict_ionic,orthorhombic,Ionic,ICSD
CeCrSe3__orthorhombic,CeCrSe3,Ce,Cr,Se,1,1,3,Se,strict_ionic,orthorhombic,Ionic,ICSD
PrScO3__orthorhombic,PrScO3,Pr,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
PrVO3__orthorhombic,PrVO3,Pr,V,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
PrCrO3__orthorhombic,PrCrO3,Pr,Cr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
PrCrSe3__orthorhombic,PrCrSe3,Pr,Cr,Se,1,1,3,Se,strict_ionic,orthorhombic,Ionic,ICSD
PrMnO3__orthorhombic,PrMnO3,Pr,Mn,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
PrFeO3__orthorhombic,PrFeO3,Pr,Fe,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
PrCoO3__orthorhombic,PrCoO3,Pr,Co,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
PrNiO3__orthorhombic,PrNiO3,Pr,Ni,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
PrNiO3__trigonal,PrNiO3,Pr,Ni,O,1,1,3,O,strict_ionic,trigonal,Ionic,ICSD
PrRuO3__orthorhombic,PrRuO3,Pr,Ru,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
PrRhO3__orthorhombic,PrRhO3,Pr,Rh,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
NdScO3__orthorhombic,NdScO3,Nd,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
NdTiO3__orthorhombic,NdTiO3,Nd,Ti,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
NdVO3__orthorhombic,NdVO3,Nd,V,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
NdCrO3__orthorhombic,NdCrO3,Nd,Cr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
NdCrS3__orthorhombic,NdCrS3,Nd,Cr,S,1,1,3,S,strict_ionic,orthorhombic,Ionic,ICSD
NdCrSe3__orthorhombic,NdCrSe3,Nd,Cr,Se,1,1,3,Se,strict_ionic,orthorhombic,Ionic,ICSD
NdMnO3__orthorhombic,NdMnO3,Nd,Mn,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
NdFeO3__orthorhombic,NdFeO3,Nd,Fe,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
NdCoO3__orthorhombic,NdCoO3,Nd,Co,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
NdNiO3__orthorhombic,NdNiO3,Nd,Ni,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
NdRhO3__orthorhombic,NdRhO3,Nd,Rh,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
SmScO3__orthorhombic,SmScO3,Sm,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
SmTiO3__orthorhombic,SmTiO3,Sm,Ti,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
SmVO3__orthorhombic,SmVO3,Sm,V,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
SmCrO3__orthorhombic,SmCrO3,Sm,Cr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
SmCrS3__orthorhombic,SmCrS3,Sm,Cr,S,1,1,3,S,strict_ionic,orthorhombic,Ionic,ICSD
SmMnO3__orthorhombic,SmMnO3,Sm,Mn,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
SmFeO3__orthorhombic,SmFeO3,Sm,Fe,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
SmCoO3__orthorhombic,SmCoO3,Sm,Co,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
SmNiO3__orthorhombic,SmNiO3,Sm,Ni,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
SmRhO3__orthorhombic,SmRhO3,Sm,Rh,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
EuScO3__orthorhombic,EuScO3,Eu,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
EuCrO3__orthorhombic,EuCrO3,Eu,Cr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
EuMnO3__orthorhombic,EuMnO3,Eu,Mn,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
EuFeO3__orthorhombic,EuFeO3,Eu,Fe,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
EuNiO3__orthorhombic,EuNiO3,Eu,Ni,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
EuZrO3__orthorhombic,EuZrO3,Eu,Zr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
EuZrS3__orthorhombic,EuZrS3,Eu,Zr,S,1,1,3,S,strict_ionic,orthorhombic,Ionic,ICSD
EuZrSe3__orthorhombic,EuZrSe3,Eu,Zr,Se,1,1,3,Se,strict_ionic,orthorhombic,Ionic,ICSD
EuNbO3__orthorhombic,EuNbO3,Eu,Nb,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
EuRhO3__orthorhombic,EuRhO3,Eu,Rh,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
EuHfS3__orthorhombic,EuHfS3,Eu,Hf,S,1,1,3,S,strict_ionic,orthorhombic,Ionic,ICSD
GdScO3__orthorhombic,GdScO3,Gd,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
GdScS3__orthorhombic,GdScS3,Gd,Sc,S,1,1,3,S,strict_ionic,orthorhombic,Ionic,ICSD
GdTiO3__orthorhombic,GdTiO3,Gd,Ti,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
GdVO3__orthorhombic,GdVO3,Gd,V,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
GdCrO3__orthorhombic,GdCrO3,Gd,Cr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
GdMnO3__orthorhombic,GdMnO3,Gd,Mn,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
GdFeO3__orthorhombic,GdFeO3,Gd,Fe,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
GdNiO3__orthorhombic,GdNiO3,Gd,Ni,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
TbScO3__orthorhombic,TbScO3,Tb,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
TbVO3__orthorhombic,TbVO3,Tb,V,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
TbCrO3__orthorhombic,TbCrO3,Tb,Cr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
TbMnO3__orthorhombic,TbMnO3,Tb,Mn,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
TbFeO3__orthorhombic,TbFeO3,Tb,Fe,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
TbCoO3__orthorhombic,TbCoO3,Tb,Co,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
TbRhO3__orthorhombic,TbRhO3,Tb,Rh,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
DyScO3__orthorhombic,DyScO3,Dy,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
DyVO3__orthorhombic,DyVO3,Dy,V,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
DyCrO3__orthorhombic,DyCrO3,Dy,Cr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
DyMnO3__orthorhombic,DyMnO3,Dy,Mn,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
DyMnO3__hexagonal,DyMnO3,Dy,Mn,O,1,1,3,O,strict_ionic,hexagonal,Ionic,ICSD
DyFeO3__orthorhombic,DyFeO3,Dy,Fe,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
DyCoO3__orthorhombic,DyCoO3,Dy,Co,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
DyNiO3__orthorhombic,DyNiO3,Dy,Ni,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
HoScO3__orthorhombic,HoScO3,Ho,Sc,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
HoScS3__orthorhombic,HoScS3,Ho,Sc,S,1,1,3,S,strict_ionic,orthorhombic,Ionic,ICSD
HoVO3__orthorhombic,HoVO3,Ho,V,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
HoCrO3__orthorhombic,HoCrO3,Ho,Cr,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
HoMnO3__orthorhombic,HoMnO3,Ho,Mn,O,1,1,3,O,strict_ionic,orthorhombic,Ionic,ICSD
